Time [s], Analyzer Name, Decoded Protocol Result
0.392381250000000,I2C,Setup Write to [0x22] + ACK
0.392393083333333,I2C,0x0C + ACK
0.392403625000000,I2C,0x01 + ACK
0.392423625000000,I2C,Setup Write to [0x22] + ACK
0.392435416666667,I2C,0x09 + ACK
0.392454500000000,I2C,Setup Read to [0x22] + ACK
0.392465041666667,I2C,0x06 + NAK
0.392484166666667,I2C,Setup Write to [0x22] + ACK
0.392496000000000,I2C,0x09 + ACK
0.392506500000000,I2C,0x07 + ACK
0.392526583333333,I2C,Setup Write to [0x22] + ACK
0.392538375000000,I2C,0x0A + ACK
0.392548916666667,I2C,0xE4 + ACK
0.392568916666667,I2C,Setup Write to [0x22] + ACK
0.392580750000000,I2C,0x0E + ACK
0.392591291666667,I2C,0xE2 + ACK
0.392611333333333,I2C,Setup Write to [0x22] + ACK
0.392623125000000,I2C,0x0F + ACK
0.392633666666667,I2C,0xFE + ACK
0.392653625000000,I2C,Setup Write to [0x22] + ACK
0.392665458333333,I2C,0x06 + ACK
0.392684541666667,I2C,Setup Read to [0x22] + ACK
0.392695041666667,I2C,0x24 + NAK
0.392714125000000,I2C,Setup Write to [0x22] + ACK
0.392725958333333,I2C,0x06 + ACK
0.392736458333333,I2C,0x00 + ACK
0.392756958333333,I2C,Setup Write to [0x22] + ACK
0.392768791666667,I2C,0x02 + ACK
0.392787875000000,I2C,Setup Read to [0x22] + ACK
0.392798375000000,I2C,0x03 + NAK
0.392818250000000,I2C,Setup Write to [0x22] + ACK
0.392830083333333,I2C,0x02 + ACK
0.392840583333333,I2C,0x04 + ACK
0.392860583333333,I2C,Setup Write to [0x22] + ACK
0.392872416666667,I2C,0x03 + ACK
0.392891458333333,I2C,Setup Read to [0x22] + ACK
0.392902000000000,I2C,0x20 + NAK
0.392921250000000,I2C,Setup Write to [0x22] + ACK
0.392933041666667,I2C,0x03 + ACK
0.392943583333333,I2C,0x01 + ACK
0.392964541666667,I2C,Setup Write to [0x22] + ACK
0.392976333333333,I2C,0x02 + ACK
0.392995416666667,I2C,Setup Read to [0x22] + ACK
0.393005958333333,I2C,0x04 + NAK
0.393025041666667,I2C,Setup Write to [0x22] + ACK
0.393036833333333,I2C,0x02 + ACK
0.393047375000000,I2C,0x00 + ACK
0.393067625000000,I2C,Setup Write to [0x22] + ACK
0.393079416666667,I2C,0x0B + ACK
0.393089958333333,I2C,0x0F + ACK
0.393112041666667,I2C,Setup Write to [0x22] + ACK
0.393123833333333,I2C,0x02 + ACK
0.393142916666667,I2C,Setup Read to [0x22] + ACK
0.393153416666667,I2C,0x00 + NAK
0.393172625000000,I2C,Setup Write to [0x22] + ACK
0.393184416666667,I2C,0x02 + ACK
0.393194958333333,I2C,0x00 + ACK
0.393214916666667,I2C,Setup Write to [0x22] + ACK
0.393226708333333,I2C,0x0A + ACK
0.393245791666667,I2C,Setup Read to [0x22] + ACK
0.393256291666667,I2C,0xE4 + NAK
0.393276375000000,I2C,Setup Write to [0x22] + ACK
0.393288208333333,I2C,0x0A + ACK
0.393298708333333,I2C,0x00 + ACK
0.393319083333333,I2C,Setup Write to [0x22] + ACK
0.393330875000000,I2C,0x03 + ACK
0.393349958333333,I2C,Setup Read to [0x22] + ACK
0.393360458333333,I2C,0x01 + NAK
0.393379625000000,I2C,Setup Write to [0x22] + ACK
0.393391416666667,I2C,0x03 + ACK
0.393401958333333,I2C,0x00 + ACK
0.393424125000000,I2C,Setup Write to [0x22] + ACK
0.393435958333333,I2C,0x02 + ACK
0.393455041666667,I2C,Setup Read to [0x22] + ACK
0.393465541666667,I2C,0x00 + NAK
0.393484750000000,I2C,Setup Write to [0x22] + ACK
0.393496541666667,I2C,0x02 + ACK
0.393507041666667,I2C,0x00 + ACK
0.393527041666667,I2C,Setup Write to [0x22] + ACK
0.393538833333333,I2C,0x0A + ACK
0.393557916666667,I2C,Setup Read to [0x22] + ACK
0.393568416666667,I2C,0x00 + NAK
0.393587500000000,I2C,Setup Write to [0x22] + ACK
0.393599291666667,I2C,0x0A + ACK
0.393609833333333,I2C,0x00 + ACK
0.393630208333333,I2C,Setup Write to [0x22] + ACK
0.393642000000000,I2C,0x03 + ACK
0.393661083333333,I2C,Setup Read to [0x22] + ACK
0.393671583333333,I2C,0x00 + NAK
0.393690750000000,I2C,Setup Write to [0x22] + ACK
0.393702541666667,I2C,0x03 + ACK
0.393713083333333,I2C,0x00 + ACK
0.393733750000000,I2C,Setup Write to [0x22] + ACK
0.393745583333333,I2C,0x06 + ACK
0.393764666666667,I2C,Setup Read to [0x22] + ACK
0.393775166666667,I2C,0x00 + NAK
0.393794833333333,I2C,Setup Write to [0x22] + ACK
0.393806625000000,I2C,0x06 + ACK
0.393817125000000,I2C,0x04 + ACK
0.393837708333333,I2C,Setup Write to [0x22] + ACK
0.393849541666667,I2C,0x08 + ACK
0.393868583333333,I2C,Setup Read to [0x22] + ACK
0.393879125000000,I2C,0x02 + NAK
0.393898166666667,I2C,Setup Write to [0x22] + ACK
0.393909958333333,I2C,0x08 + ACK
0.393920500000000,I2C,0x00 + ACK
0.393940458333333,I2C,Setup Write to [0x22] + ACK
0.393952291666667,I2C,0x02 + ACK
0.393971333333333,I2C,Setup Read to [0x22] + ACK
0.393981875000000,I2C,0x00 + NAK
0.394001041666667,I2C,Setup Write to [0x22] + ACK
0.394012833333333,I2C,0x02 + ACK
0.394023375000000,I2C,0x03 + ACK
0.398261708333333,I2C,Setup Write to [0x22] + ACK
0.398273541666667,I2C,0x42 + ACK
0.398292583333333,I2C,Setup Read to [0x22] + ACK
0.398303125000000,I2C,0x00 + NAK
0.398322083333333,I2C,Setup Write to [0x22] + ACK
0.398333916666667,I2C,0x3E + ACK
0.398353000000000,I2C,Setup Read to [0x22] + ACK
0.398363500000000,I2C,0x00 + NAK
0.398382458333333,I2C,Setup Write to [0x22] + ACK
0.398394291666667,I2C,0x3F + ACK
0.398413333333333,I2C,Setup Read to [0x22] + ACK
0.398423875000000,I2C,0x00 + NAK
0.398446458333333,I2C,Setup Write to [0x22] + ACK
0.398458250000000,I2C,0x41 + ACK
0.398477333333333,I2C,Setup Read to [0x22] + ACK
0.398487833333333,I2C,0x28 + NAK
0.398507416666667,I2C,Setup Write to [0x22] + ACK
0.398519208333333,I2C,0x43 + ACK
0.398539250000000,I2C,Setup Read to [0x22] + ACK
0.398549750000000,I2C,0x00 + ACK
0.398560291666667,I2C,0x00 + ACK
0.398570791666667,I2C,0x00 + NAK
0.398591791666667,I2C,Setup Read to [0x22] + ACK
0.398602333333333,I2C,0x00 + ACK
0.398612833333333,I2C,0x00 + ACK
0.398623333333333,I2C,0x00 + ACK
0.398633875000000,I2C,0x00 + NAK
0.398661291666667,I2C,Setup Write to [0x22] + ACK
0.398673125000000,I2C,0x06 + ACK
0.398692166666667,I2C,Setup Read to [0x22] + ACK
0.398702708333333,I2C,0x04 + NAK
0.398721750000000,I2C,Setup Write to [0x22] + ACK
0.398733583333333,I2C,0x06 + ACK
0.398744083333333,I2C,0x40 + ACK
0.398764333333333,I2C,Setup Write to [0x22] + ACK
0.398776166666667,I2C,0x09 + ACK
0.398795208333333,I2C,Setup Read to [0x22] + ACK
0.398805750000000,I2C,0x07 + NAK
0.398824791666667,I2C,Setup Write to [0x22] + ACK
0.398836625000000,I2C,0x09 + ACK
0.398847125000000,I2C,0x40 + ACK
0.403269458333333,I2C,Setup Write to [0x22] + ACK
0.403281291666667,I2C,0x42 + ACK
0.403300333333333,I2C,Setup Read to [0x22] + ACK
0.403310875000000,I2C,0x00 + NAK
0.403329833333333,I2C,Setup Write to [0x22] + ACK
0.403341666666667,I2C,0x3E + ACK
0.403360750000000,I2C,Setup Read to [0x22] + ACK
0.403371250000000,I2C,0x08 + NAK
0.403390208333333,I2C,Setup Write to [0x22] + ACK
0.403402000000000,I2C,0x3F + ACK
0.403421083333333,I2C,Setup Read to [0x22] + ACK
0.403431625000000,I2C,0x00 + NAK
0.403454166666667,I2C,Setup Write to [0x22] + ACK
0.403466000000000,I2C,0x41 + ACK
0.403485041666667,I2C,Setup Read to [0x22] + ACK
0.403495583333333,I2C,0x28 + NAK
0.403515125000000,I2C,Setup Write to [0x22] + ACK
0.403526958333333,I2C,0x43 + ACK
0.403547000000000,I2C,Setup Read to [0x22] + ACK
0.403557500000000,I2C,0x00 + ACK
0.403568000000000,I2C,0x00 + ACK
