 Decoded Protocol Result
Setup Write to [0x22] + ACK
0x0C + ACK
0x01 + ACK
Setup Write to [0x22] + ACK
0x0B + ACK
0x0F + ACK
Setup Write to [0x22] + ACK
0x0A + ACK
0x00 + ACK
Setup Write to [0x22] + ACK
0x0E + ACK
0x00 + ACK
Setup Write to [0x22] + ACK
0x0F + ACK
0x00 + ACK
Setup Write to [0x22] + ACK
0x06 + ACK
0x04 + ACK
Setup Write to [0x22] + ACK
0x09 + ACK
0x07 + ACK
Setup Write to [0x22] + ACK
0x07 + ACK
0x04 + ACK
Setup Write to [0x22] + ACK
0x02 + ACK
0x07 + ACK
Setup Write to [0x22] + ACK
0x40 + ACK
Setup Read to [0x22] + ACK
0x00 + NAK
Setup Write to [0x22] + ACK
0x02 + ACK
0x0B + ACK
Setup Write to [0x22] + ACK
0x40 + ACK
Setup Read to [0x22] + ACK
0x03 + NAK
Setup Write to [0x22] + ACK
0x03 + ACK
0x26 + ACK
Setup Write to [0x22] + ACK
0x02 + ACK
0x0B + ACK
Setup Write to [0x22] + ACK
0x0C + ACK
0x02 + ACK
Setup Write to [0x22] + ACK
0x06 + ACK
0x44 + ACK
Setup Write to [0x22] + ACK
0x07 + ACK
0x04 + ACK
Setup Write to [0x22] + ACK
0x0C + ACK
0x02 + ACK
Setup Write to [0x22] + ACK
0x3C + ACK
Setup Read to [0x22] + ACK
0x0C + ACK
0x01 + ACK
0x00 + ACK
0x00 + ACK
0x51 + ACK
0x08 + ACK
0x51 + NAK
Setup Write to [0x22] + ACK
0x3C + ACK
Setup Read to [0x22] + ACK
0x0C + ACK
0x01 + ACK
0x00 + ACK
0x01 + ACK
0x13 + ACK
0x08 + ACK
0x41 + NAK
Setup Write to [0x22] + ACK
0x43 + ACK
Setup Read to [0x22] + ACK
0xE0 + NAK
Setup Write to [0x22] + ACK
0x43 + ACK
Setup Read to [0x22] + ACK
0x61 + ACK
0x21 + NAK
Setup Write to [0x22] + ACK
0x43 + ACK
Setup Read to [0x22] + ACK
0x2C + ACK
0x91 + ACK
0x01 + ACK
0x08 + ACK
0xC8 + ACK
0xD0 + ACK
0x02 + ACK
0x00 + NAK
Setup Write to [0x22] + ACK
0x43 + ACK
Setup Read to [0x22] + ACK
0x76 + ACK
0x92 + ACK
0x29 + ACK
0x58 + NAK
Setup Write to [0x22] + ACK
0x06 + ACK
0x44 + ACK
Setup Write to [0x22] + ACK
0x07 + ACK
0x04 + ACK
Setup Write to [0x22] + ACK
0x0C + ACK
0x02 + ACK
Setup Write to [0x22] + ACK
0x43 + ACK
0x12 + ACK
0x12 + ACK
0x12 + ACK
0x13 + ACK
0x86 + ACK
Setup Write to [0x22] + ACK
0x43 + ACK
0x42 + ACK
0x10 + ACK
0x00 + ACK
0x00 + ACK
0x00 + ACK
0x21 + ACK
Setup Write to [0x22] + ACK
0x43 + ACK
0xFF + ACK
0x14 + ACK
0xFE + ACK
0xA1 + ACK
Setup Write to [0x22] + ACK
0x3C + ACK
Setup Read to [0x22] + ACK
0x0C + ACK
0x00 + ACK
0x00 + ACK
0x00 + ACK
0x42 + ACK
0x20 + ACK
0x41 + NAK
Setup Write to [0x22] + ACK
0x3C + ACK
Setup Read to [0x22] + ACK
0x0C + ACK
0x01 + ACK
0x04 + ACK
0x00 + ACK
0x13 + ACK
0x08 + ACK
0x51 + NAK
Setup Write to [0x22] + ACK
0x43 + ACK
Setup Read to [0x22] + ACK
0xE0 + NAK
Setup Write to [0x22] + ACK
0x43 + ACK
Setup Read to [0x22] + ACK
0x61 + ACK
0x01 + NAK
Setup Write to [0x22] + ACK
0x43 + ACK
Setup Read to [0x22] + ACK
0x8F + ACK
0x78 + ACK
0x38 + ACK
0x4A + NAK
Setup Write to [0x22] + ACK
0x3C + ACK
Setup Read to [0x22] + ACK
0x0C + ACK
0x01 + ACK
0x00 + ACK
0x00 + ACK
0x13 + ACK
0x08 + ACK
0x51 + NAK
Setup Write to [0x22] + ACK
0x3C + ACK
Setup Read to [0x22] + ACK
0x0C + ACK
0x01 + ACK
0x00 + ACK
0x01 + ACK
0x13 + ACK
0x08 + ACK
0x41 + NAK
Setup Write to [0x22] + ACK
0x43 + ACK
Setup Read to [0x22] + ACK
0xE0 + NAK
Setup Write to [0x22] + ACK
0x43 + ACK
Setup Read to [0x22] + ACK
0x63 + ACK
0x03 + NAK
Setup Write to [0x22] + ACK
0x43 + ACK
Setup Read to [0x22] + ACK
0x21 + ACK
0x7B + ACK
0x00 + ACK
0x96 + NAK
Setup Write to [0x22] + ACK
0x06 + ACK
0x44 + ACK
Setup Write to [0x22] + ACK
0x07 + ACK
0x04 + ACK
Setup Write to [0x22] + ACK
0x0C + ACK
0x02 + ACK
Setup Write to [0x22] + ACK
0x3C + ACK
Setup Read to [0x22] + ACK
0x0C + ACK
0x00 + ACK
0x00 + ACK
0x00 + ACK
0x42 + ACK
0x08 + ACK
0x41 + NAK
Setup Write to [0x22] + ACK
0x3C + ACK
Setup Read to [0x22] + ACK
0x0C + ACK
0x01 + ACK
0x00 + ACK
0x01 + ACK
0x13 + ACK
0x08 + ACK
0x51 + NAK
Setup Write to [0x22] + ACK
0x43 + ACK
Setup Read to [0x22] + ACK
0xE0 + NAK
Setup Write to [0x22] + ACK
0x43 + ACK
Setup Read to [0x22] + ACK
0x66 + ACK
0x05 + NAK
Setup Write to [0x22] + ACK
0x43 + ACK
Setup Read to [0x22] + ACK
0x51 + ACK
0x2A + ACK
0x14 + ACK
0x02 + NAK
Setup Write to [0x22] + ACK
0x06 + ACK
0x44 + ACK
Setup Write to [0x22] + ACK
0x07 + ACK
0x04 + ACK
Setup Write to [0x22] + ACK
0x0C + ACK
0x02 + ACK
