Time [s], Analyzer Name, Decoded Protocol Result
0.302865833333333,I2C,Setup Write to [0x22] + ACK
0.302877666666667,I2C,0x0C + ACK
0.302888166666667,I2C,0x01 + ACK
0.302908166666667,I2C,Setup Write to [0x22] + ACK
0.302920000000000,I2C,0x09 + ACK
0.302939083333333,I2C,Setup Read to [0x22] + ACK
0.302949583333333,I2C,0x06 + NAK
0.302968708333333,I2C,Setup Write to [0x22] + ACK
0.302980541666667,I2C,0x09 + ACK
0.302991083333333,I2C,0x07 + ACK
0.303011125000000,I2C,Setup Write to [0x22] + ACK
0.303022958333333,I2C,0x0A + ACK
0.303033458333333,I2C,0xE4 + ACK
0.303053500000000,I2C,Setup Write to [0x22] + ACK
0.303065291666667,I2C,0x0E + ACK
0.303075833333333,I2C,0xE2 + ACK
0.303095875000000,I2C,Setup Write to [0x22] + ACK
0.303107708333333,I2C,0x0F + ACK
0.303118208333333,I2C,0xFE + ACK
0.303138208333333,I2C,Setup Write to [0x22] + ACK
0.303150000000000,I2C,0x06 + ACK
0.303169083333333,I2C,Setup Read to [0x22] + ACK
0.303179625000000,I2C,0x24 + NAK
0.303198708333333,I2C,Setup Write to [0x22] + ACK
0.303210500000000,I2C,0x06 + ACK
0.303221041666667,I2C,0x00 + ACK
0.303241541666667,I2C,Setup Write to [0x22] + ACK
0.303253375000000,I2C,0x02 + ACK
0.303272458333333,I2C,Setup Read to [0x22] + ACK
0.303282958333333,I2C,0x03 + NAK
0.303302833333333,I2C,Setup Write to [0x22] + ACK
0.303314666666667,I2C,0x02 + ACK
0.303325166666667,I2C,0x04 + ACK
0.303345166666667,I2C,Setup Write to [0x22] + ACK
0.303357000000000,I2C,0x03 + ACK
0.303376083333333,I2C,Setup Read to [0x22] + ACK
0.303386583333333,I2C,0x20 + NAK
0.303405833333333,I2C,Setup Write to [0x22] + ACK
0.303417666666667,I2C,0x03 + ACK
0.303428166666667,I2C,0x01 + ACK
0.303449166666667,I2C,Setup Write to [0x22] + ACK
0.303460958333333,I2C,0x02 + ACK
0.303480041666667,I2C,Setup Read to [0x22] + ACK
0.303490583333333,I2C,0x04 + NAK
0.303509666666667,I2C,Setup Write to [0x22] + ACK
0.303521500000000,I2C,0x02 + ACK
0.303532000000000,I2C,0x00 + ACK
0.303552291666667,I2C,Setup Write to [0x22] + ACK
0.303564083333333,I2C,0x0B + ACK
0.303574625000000,I2C,0x0F + ACK
0.307746750000000,I2C,Setup Write to [0x22] + ACK
0.307758541666667,I2C,0x42 + ACK
0.307777625000000,I2C,Setup Read to [0x22] + ACK
0.307788166666667,I2C,0x00 + NAK
0.307807125000000,I2C,Setup Write to [0x22] + ACK
0.307818958333333,I2C,0x3E + ACK
0.307838041666667,I2C,Setup Read to [0x22] + ACK
0.307848541666667,I2C,0x00 + NAK
0.307867500000000,I2C,Setup Write to [0x22] + ACK
0.307879333333333,I2C,0x3F + ACK
0.307898416666667,I2C,Setup Read to [0x22] + ACK
0.307908916666667,I2C,0x00 + NAK
0.307931500000000,I2C,Setup Write to [0x22] + ACK
0.307943291666667,I2C,0x41 + ACK
0.307962375000000,I2C,Setup Read to [0x22] + ACK
0.307972916666667,I2C,0x28 + NAK
0.307992458333333,I2C,Setup Write to [0x22] + ACK
0.308004291666667,I2C,0x43 + ACK
0.308024333333333,I2C,Setup Read to [0x22] + ACK
0.308034833333333,I2C,0x00 + ACK
0.308045375000000,I2C,0x00 + ACK
0.308055875000000,I2C,0x00 + NAK
0.308076875000000,I2C,Setup Read to [0x22] + ACK
0.308087416666667,I2C,0x00 + ACK
0.308097916666667,I2C,0x00 + ACK
0.308108416666667,I2C,0x00 + ACK
0.308118958333333,I2C,0x00 + NAK
0.308146083333333,I2C,Setup Write to [0x22] + ACK
0.308157916666667,I2C,0x06 + ACK
0.308176958333333,I2C,Setup Read to [0x22] + ACK
0.308187500000000,I2C,0x00 + NAK
0.308206583333333,I2C,Setup Write to [0x22] + ACK
0.308218375000000,I2C,0x06 + ACK
0.308228875000000,I2C,0x40 + ACK
